Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,25508.400391,25598.750000,25405.500000,25427.300781,25427.300781,0
2017-11-03,25531.400391,25695.500000,25394.949219,25650.699219,25650.699219,0
2017-11-06,25569.000000,25694.599609,25529.500000,25571.150391,25571.150391,0
2017-11-07,25669.099609,25695.750000,25248.949219,25300.800781,25300.800781,0
2017-11-08,25375.800781,25435.599609,25119.500000,25184.349609,25184.349609,0
2017-11-09,25281.000000,25385.199219,25166.150391,25291.349609,25291.349609,0
2017-11-10,25250.900391,25598.550781,25237.199219,25498.949219,25498.949219,0
2017-11-13,25570.250000,25611.550781,25337.250000,25358.300781,25358.300781,0
2017-11-14,25352.550781,25404.800781,25223.099609,25284.599609,25284.599609,0
2017-11-15,25241.650391,25318.050781,25166.349609,25218.900391,25218.900391,0
2017-11-16,25292.900391,25496.050781,25273.699219,25446.599609,25446.599609,0
2017-11-17,25875.699219,25924.900391,25679.550781,25728.400391,25728.400391,0
2017-11-20,25733.699219,25803.150391,25681.699219,25768.599609,25768.599609,0
2017-11-21,25829.300781,25871.099609,25726.500000,25757.500000,25757.500000,0
2017-11-22,25805.650391,25831.949219,25665.849609,25766.650391,25766.650391,0
2017-11-23,25826.300781,25838.550781,25620.949219,25736.250000,25736.250000,76600
2017-11-24,25776.599609,25849.000000,25749.099609,25779.650391,25779.650391,0
2017-11-27,25693.050781,25931.849609,25673.500000,25891.949219,25891.949219,0
2017-11-28,25830.449219,25953.500000,25795.500000,25846.400391,25846.400391,0
2017-11-29,25829.650391,25877.750000,25746.800781,25795.699219,25795.699219,0
2017-11-30,25693.800781,25700.849609,25246.849609,25332.400391,25332.400391,0
2017-12-01,25409.550781,25441.349609,25152.650391,25191.949219,25191.949219,0
2017-12-04,25295.050781,25297.199219,24993.349609,25075.099609,25075.099609,0
2017-12-05,25030.750000,25217.699219,24921.300781,25124.849609,25124.849609,0
2017-12-06,25066.300781,25077.449219,24813.599609,24851.800781,24851.800781,0
2017-12-07,24935.300781,25097.400391,24875.349609,25057.250000,25057.250000,0
2017-12-08,25145.500000,25367.699219,25145.500000,25321.150391,25321.150391,0
2017-12-11,25434.750000,25448.849609,25318.699219,25404.849609,25404.849609,0
2017-12-12,25413.400391,25416.199219,25108.599609,25125.449219,25125.449219,0
2017-12-13,25118.199219,25270.750000,24938.550781,25000.349609,25000.349609,0
2017-12-14,25062.400391,25205.900391,24888.650391,25168.199219,25168.199219,0
2017-12-15,25487.150391,25559.050781,25411.250000,25440.300781,25440.300781,0
2017-12-18,25181.750000,25759.900391,24617.150391,25594.550781,25594.550781,0
2017-12-19,25640.900391,25757.949219,25619.599609,25716.199219,25716.199219,0
2017-12-20,25779.050781,25780.050781,25566.050781,25591.699219,25591.699219,0
2017-12-21,25608.250000,25629.949219,25508.900391,25554.300781,25554.300781,0
2017-12-22,25615.599609,25694.500000,25560.500000,25648.550781,25648.550781,0
2017-12-26,25659.750000,25712.949219,25545.599609,25675.250000,25675.250000,0
2017-12-27,25652.849609,25733.199219,25429.550781,25496.050781,25496.050781,0
2017-12-28,25463.599609,25561.949219,25417.400391,25490.000000,25490.000000,0
2017-12-29,25484.849609,25566.400391,25450.250000,25539.449219,25539.449219,0
2018-01-01,null,null,null,null,null,null
2018-01-02,25382.199219,25425.500000,25232.800781,25338.250000,25338.250000,0
2018-01-03,25425.750000,25454.900391,25300.900391,25318.599609,25318.599609,0
2018-01-04,25367.650391,25490.349609,25310.300781,25462.599609,25462.599609,0
2018-01-05,25524.449219,25643.349609,25499.550781,25601.849609,25601.849609,0
2018-01-08,25690.250000,25771.500000,25643.800781,25676.099609,25676.099609,0
2018-01-09,25727.949219,25803.800781,25617.250000,25703.800781,25703.800781,0
2018-01-10,25709.900391,25717.599609,25527.500000,25617.300781,25617.300781,0
2018-01-11,25628.199219,25694.650391,25532.250000,25660.900391,25660.900391,0
2018-01-12,25732.400391,25775.150391,25557.599609,25749.050781,25749.050781,0
2018-01-15,25858.150391,26091.800781,25842.949219,26069.199219,26069.199219,0
2018-01-16,26129.150391,26136.400391,25931.699219,25974.900391,25974.900391,0
2018-01-17,25946.150391,26335.849609,25922.300781,26289.099609,26289.099609,0
2018-01-18,26762.250000,26887.650391,26423.750000,26537.400391,26537.400391,0
2018-01-19,26615.650391,26957.849609,26433.550781,26909.500000,26909.500000,0
2018-01-22,26940.500000,27074.900391,26841.199219,27041.199219,27041.199219,0
2018-01-23,27089.949219,27422.050781,27066.150391,27390.599609,27390.599609,0
2018-01-24,27310.150391,27479.250000,27219.449219,27398.550781,27398.550781,0
